,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
0,andhra pradesh,adilabad,2013,61,47,12,197,138,464,0
1,andhra pradesh,anantapur,2013,28,84,23,337,43,161,0
2,andhra pradesh,chittoor,2013,31,27,13,119,84,435,0
3,andhra pradesh,cuddapah,2013,19,50,9,318,163,207,0
4,andhra pradesh,cyberabad,2013,138,129,43,350,338,1526,0
5,andhra pradesh,east godavari,2013,74,33,15,352,222,483,0
6,andhra pradesh,guntakal rly.,2013,0,0,0,3,2,0,0
7,andhra pradesh,guntur,2013,38,54,16,296,135,608,0
8,andhra pradesh,guntur urban,2013,28,34,7,124,93,326,0
9,andhra pradesh,hyderabad city,2013,101,52,39,225,90,1480,0
10,andhra pradesh,karimnagar,2013,57,103,39,354,276,670,0
11,andhra pradesh,khammam,2013,100,104,15,254,297,768,0
12,andhra pradesh,krishna,2013,58,37,14,387,274,708,0
13,andhra pradesh,kurnool,2013,26,50,11,374,199,203,0
14,andhra pradesh,mahaboobnagar,2013,117,63,33,219,98,234,0
15,andhra pradesh,medak,2013,64,38,25,169,73,476,0
16,andhra pradesh,nalgonda,2013,77,110,27,367,313,327,0
17,andhra pradesh,nellore,2013,26,81,8,263,221,374,0
18,andhra pradesh,nizamabad,2013,49,33,17,142,295,732,0
19,andhra pradesh,prakasham,2013,39,57,8,298,26,484,0
20,andhra pradesh,rajahmundry,2013,14,4,2,67,68,209,0
21,andhra pradesh,ranga reddy,2013,37,25,14,69,23,168,0
22,andhra pradesh,secunderabad rly.,2013,0,2,0,11,0,0,0
23,andhra pradesh,srikakulam,2013,42,23,3,207,129,361,0
24,andhra pradesh,tirupathi urban,2013,10,15,7,45,31,133,0
25,andhra pradesh,vijayawada city,2013,48,45,12,249,456,1227,0
26,andhra pradesh,vijayawada rly.,2013,1,1,2,6,5,0,0
27,andhra pradesh,visakha rural,2013,32,23,8,139,79,210,0
28,andhra pradesh,visakhapatnam,2013,67,50,8,149,100,548,0
29,andhra pradesh,vizianagaram,2013,42,25,10,165,95,383,0
30,andhra pradesh,warangal,2013,52,63,20,206,10,129,0
31,andhra pradesh,warangal urban,2013,36,47,16,127,81,195,0
32,andhra pradesh,west godavari,2013,123,86,16,342,245,855,0
34,arunachal pradesh,anjaw,2013,0,0,0,0,0,0,0
35,arunachal pradesh,changlang,2013,5,5,0,2,0,1,0
36,arunachal pradesh,dibang valley,2013,0,1,0,2,0,0,0
37,arunachal pradesh,k/kumey,2013,0,1,0,1,0,0,0
38,arunachal pradesh,kameng east,2013,2,12,0,6,0,0,0
39,arunachal pradesh,kameng west,2013,2,0,0,0,0,0,0
40,arunachal pradesh,lohit,2013,10,22,0,10,0,2,0
41,arunachal pradesh,longding,2013,1,2,0,2,0,0,0
42,arunachal pradesh,papum pare,2013,18,22,0,24,1,20,0
43,arunachal pradesh,rural,2013,3,5,0,5,0,1,0
44,arunachal pradesh,siang east,2013,10,2,0,6,0,1,0
45,arunachal pradesh,siang upper,2013,0,2,0,4,0,0,0
46,arunachal pradesh,siang west,2013,7,6,0,9,2,3,0
47,arunachal pradesh,subansiri lower,2013,5,0,0,3,0,0,0
48,arunachal pradesh,subansiri upper,2013,10,2,0,8,0,0,0
49,arunachal pradesh,tawang,2013,2,1,0,6,0,1,0
50,arunachal pradesh,tirap,2013,0,2,0,5,0,0,0
51,arunachal pradesh,upper dibang valley,2013,0,1,0,0,0,0,0
53,assam,baksa,2013,20,46,1,9,0,32,0
54,assam,barpeta,2013,148,348,18,341,0,1016,0
55,assam,bieo,2013,0,0,0,0,0,0,0
56,assam,bongaigaon,2013,68,95,9,4,0,100,0
57,assam,c.i.d.,2013,0,0,0,0,0,0,0
58,assam,cachar,2013,79,221,12,25,0,537,0
59,assam,chirang,2013,30,50,1,21,0,78,0
60,assam,darrang,2013,92,145,3,239,0,378,0
61,assam,dhemaji,2013,42,70,1,77,0,85,0
62,assam,dhubri,2013,190,350,9,452,11,1080,0
63,assam,dibrugarh,2013,65,108,0,151,0,239,0
64,assam,g.r.p.,2013,0,6,0,0,0,0,0
65,assam,goalpara,2013,73,103,7,89,0,326,0
66,assam,golaghat,2013,85,181,3,76,0,284,0
67,assam,guwahati city,2013,103,432,15,207,0,561,0
68,assam,hailakandi,2013,60,71,2,7,0,169,0
69,assam,hamren,2013,14,9,0,0,0,0,0
70,assam,jorhat,2013,79,160,0,117,0,307,0
71,assam,kamrup,2013,66,154,3,86,0,305,0
72,assam,karbi anglong,2013,8,43,0,16,0,39,0
73,assam,karimganj,2013,44,108,9,9,0,266,0
74,assam,kokrajhar,2013,32,79,5,32,0,134,2
75,assam,lakhimpur,2013,59,123,3,55,0,300,0
76,assam,morigaon,2013,76,123,8,45,0,271,0
77,assam,n.c.hills,2013,5,24,3,0,0,0,0
78,assam,nagaon,2013,190,438,23,103,3,1120,0
79,assam,nalbari,2013,44,90,3,84,0,178,0
80,assam,r.p.o.,2013,9,3,0,0,0,0,0
81,assam,sibsagar,2013,60,179,5,53,0,311,0
82,assam,sonitpur,2013,99,205,15,34,0,300,0
83,assam,stf,2013,0,0,0,0,0,0,0
84,assam,tinsukia,2013,77,201,7,34,0,140,0
85,assam,udalguri,2013,20,57,5,43,0,80,0
87,bihar,araria,2013,52,90,12,10,0,19,5
88,bihar,arwal,2013,6,32,15,3,0,30,0
89,bihar,aurangabad,2013,19,52,28,37,0,141,0
90,bihar,bagaha,2013,15,64,14,17,0,55,0
91,bihar,banka,2013,33,69,28,1,1,69,0
92,bihar,begusarai,2013,24,125,28,55,0,93,0
93,bihar,bettiah,2013,39,154,26,0,0,148,0
94,bihar,bhabhua,2013,16,52,27,0,0,49,0
95,bihar,bhagalpur,2013,51,123,19,40,0,115,0
96,bihar,bhojpur,2013,23,93,38,3,0,137,0
97,bihar,buxar,2013,16,63,9,29,0,78,0
98,bihar,darbhanga,2013,38,196,33,4,1,343,0
99,bihar,gaya,2013,45,175,37,0,0,212,0
100,bihar,gopalganj,2013,11,85,33,0,0,143,0
101,bihar,jamalpur rly.,2013,1,0,0,0,0,1,0
102,bihar,jamui,2013,24,37,19,2,0,104,0
103,bihar,jehanabad,2013,14,26,30,5,0,57,0
104,bihar,katihar,2013,86,148,21,1,0,99,0
105,bihar,katihar rly.,2013,1,4,0,1,0,2,0
106,bihar,khagaria,2013,8,59,13,5,0,25,0
107,bihar,kishanganj,2013,52,90,7,0,0,65,0
108,bihar,lakhisarai,2013,9,26,11,0,0,70,0
109,bihar,madhepura,2013,14,70,17,3,0,64,0
110,bihar,madhubani,2013,37,141,28,1,0,210,0
111,bihar,motihari,2013,25,226,65,5,14,196,0
112,bihar,munger,2013,7,55,13,5,0,66,0
113,bihar,muzaffarpur,2013,43,295,48,5,27,81,2
