,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
0,andhra pradesh,anantapur,2014,35,106,25,436,26,165,0
1,andhra pradesh,chittoor,2014,32,34,17,135,94,278,0
2,andhra pradesh,cuddapah,2014,28,16,16,215,12,91,0
3,andhra pradesh,east godavari,2014,85,25,7,519,62,464,0
4,andhra pradesh,guntakal railway,2014,0,0,0,0,0,0,0
5,andhra pradesh,guntur,2014,49,46,16,245,347,454,0
6,andhra pradesh,guntur urban,2014,40,56,12,160,452,345,0
7,andhra pradesh,krishna,2014,80,34,8,354,232,613,0
8,andhra pradesh,kurnool,2014,32,37,12,403,251,362,0
9,andhra pradesh,nellore,2014,58,124,14,295,205,362,0
10,andhra pradesh,prakasham,2014,50,50,8,197,16,402,0
11,andhra pradesh,rajahmundry,2014,35,8,3,121,27,190,0
12,andhra pradesh,srikakulam,2014,40,10,3,214,91,298,0
13,andhra pradesh,tirupathi urban,2014,18,17,13,60,21,167,0
14,andhra pradesh,vijayawada city,2014,64,27,10,279,212,642,0
15,andhra pradesh,vijayawada railway,2014,0,2,2,8,6,1,0
16,andhra pradesh,visakha rural,2014,38,15,4,129,57,166,0
17,andhra pradesh,visakhapatnam,2014,84,50,13,147,112,371,0
18,andhra pradesh,vizianagaram,2014,47,19,8,225,327,330,0
19,andhra pradesh,west godavari,2014,146,45,24,405,99,661,0
21,arunachal pradesh,anjaw,2014,0,1,0,1,0,0,0
22,arunachal pradesh,changlang,2014,6,6,0,0,0,0,0
23,arunachal pradesh,crime branch,2014,0,0,0,0,0,0,0
24,arunachal pradesh,dibang valley,2014,1,0,0,0,0,0,0
25,arunachal pradesh,kameng east,2014,1,1,0,6,0,0,0
26,arunachal pradesh,kameng west,2014,0,2,0,9,0,2,0
27,arunachal pradesh,kukung kumey,2014,3,0,0,1,0,0,0
28,arunachal pradesh,lohit,2014,7,25,0,13,0,1,0
29,arunachal pradesh,longding,2014,3,4,0,3,0,0,0
30,arunachal pradesh,lower dibang valley,2014,3,2,0,0,0,0,0
31,arunachal pradesh,papum pare city,2014,32,36,1,26,0,21,0
32,arunachal pradesh,papum pare rural,2014,0,4,0,4,0,0,0
33,arunachal pradesh,siang east,2014,11,2,0,21,0,4,0
34,arunachal pradesh,siang upper,2014,1,0,0,1,0,0,0
35,arunachal pradesh,siang west,2014,6,1,0,11,3,8,0
36,arunachal pradesh,subansiri lower,2014,1,2,0,6,0,3,0
37,arunachal pradesh,subansiri upper,2014,5,2,0,16,0,3,0
38,arunachal pradesh,tawang,2014,0,0,0,1,0,0,0
39,arunachal pradesh,tirap,2014,3,3,0,2,0,0,0
41,assam,barpeta,2014,143,359,21,556,0,1116,0
42,assam,baska,2014,26,36,4,27,0,77,0
43,assam,bongaigaon,2014,31,29,4,8,0,178,0
44,assam,cachar,2014,81,214,14,50,0,595,0
45,assam,chirang,2014,29,42,7,33,0,60,0
46,assam,darrang,2014,111,186,11,453,0,489,0
47,assam,dhemaji,2014,45,68,3,51,1,111,0
48,assam,dhubri,2014,193,405,10,193,0,1186,0
49,assam,dibrugarh,2014,67,123,5,105,0,253,0
50,assam,goalpara,2014,108,119,8,121,0,367,0
51,assam,golaghat,2014,74,190,7,74,0,166,0
52,assam,guwahati city,2014,100,424,11,143,0,486,0
53,assam,hailakandi,2014,77,89,4,23,0,209,0
54,assam,jorhat,2014,36,72,6,157,0,401,0
55,assam,kamrup,2014,77,47,1,15,0,595,0
56,assam,karbi anglong,2014,23,55,0,26,0,42,0
57,assam,karimganj,2014,76,109,13,10,0,337,0
58,assam,kokrajhar,2014,45,79,3,47,0,71,1
59,assam,lakhimpur,2014,67,150,4,55,0,369,0
60,assam,morigaon,2014,81,174,7,328,0,349,0
61,assam,n. c. hills,2014,6,25,0,0,0,6,0
62,assam,nagaon,2014,187,295,22,350,0,1162,0
63,assam,nalbari,2014,41,100,0,0,0,42,0
64,assam,sibsagar,2014,44,177,6,153,0,333,0
65,assam,sonitpur,2014,112,202,5,20,0,381,0
66,assam,tinsukia,2014,66,64,3,66,0,164,0
67,assam,udalguri,2014,34,62,9,35,0,81,0
69,bihar,araria,2014,35,68,17,1,0,6,0
70,bihar,arwal,2014,6,18,11,4,0,0,0
71,bihar,aurangabad,2014,12,70,28,29,0,110,0
72,bihar,bagaha,2014,14,56,7,38,0,56,0
73,bihar,banka,2014,22,62,23,3,0,64,0
74,bihar,begusarai,2014,30,132,28,37,1,55,0
75,bihar,bettiah,2014,33,102,39,0,0,106,0
76,bihar,bhabhua,2014,12,61,12,0,0,44,0
77,bihar,bhagalpur,2014,52,165,20,31,0,161,0
78,bihar,bhojpur,2014,32,115,46,7,0,129,0
79,bihar,buxar,2014,16,72,24,13,0,95,0
80,bihar,darbhanga,2014,50,216,30,8,0,298,0
81,bihar,gaya,2014,48,174,63,0,0,198,0
82,bihar,gopalganj,2014,14,110,33,0,6,156,0
83,bihar,jamalpur railway,2014,0,2,0,3,0,0,0
84,bihar,jamui,2014,23,46,21,10,1,46,0
85,bihar,jehanabad,2014,10,66,22,0,0,56,0
86,bihar,katihar,2014,65,116,14,0,0,59,0
87,bihar,katihar railway,2014,0,1,0,11,0,0,0
88,bihar,khagaria,2014,14,92,17,2,0,19,0
89,bihar,kishanganj,2014,64,101,12,22,0,85,0
90,bihar,lakhisarai,2014,10,35,8,63,1,29,0
91,bihar,madhepura,2014,10,64,8,8,0,50,0
92,bihar,madhubani,2014,41,169,34,9,0,227,0
93,bihar,motihari,2014,31,223,75,0,0,263,0
94,bihar,munger,2014,11,49,8,5,0,48,0
95,bihar,muzaffarpur,2014,44,215,178,166,0,109,5
96,bihar,muzaffarpur railway,2014,2,2,2,1,0,0,0
97,bihar,nalanda,2014,29,124,59,4,0,271,0
98,bihar,naugachia,2014,10,36,10,3,0,88,0
99,bihar,nawadah,2014,22,57,22,10,0,77,0
100,bihar,patna,2014,86,519,83,0,60,535,0
101,bihar,patna railway,2014,1,1,5,13,0,0,0
102,bihar,purnea,2014,66,140,26,30,0,115,0
103,bihar,rohtas,2014,22,115,54,0,0,106,0
104,bihar,saharsa,2014,14,94,19,0,0,70,0
105,bihar,samastipur,2014,38,173,39,0,0,184,0
106,bihar,saran,2014,37,160,83,0,0,157,0
107,bihar,sheikhpura,2014,5,34,6,18,0,72,0
108,bihar,sheohar,2014,8,24,6,16,0,14,0
109,bihar,sitamarhi,2014,11,188,29,0,0,242,0
110,bihar,siwan,2014,17,152,64,7,0,50,0
111,bihar,supaul,2014,32,90,22,0,0,83,0
112,bihar,vaishali,2014,28,226,66,0,0,139,0
113,bihar,economic offences unit,2014,0,0,0,0,0,0,0
114,bihar,anti terrorist squad,2014,0,0,0,0,0,0,0
116,chhattisgarh,balod,2014,34,18,4,62,3,23,0
117,chhattisgarh,balodbazar,2014,40,113,8,95,6,32,0
118,chhattisgarh,balrampur,2014,111,14,5,62,1,39,0
119,chhattisgarh,bemetra,2014,41,23,3,56,0,19,0
120,chhattisgarh,bilaspur,2014,94,156,13,211,5,75,0
121,chhattisgarh,bizapur,2014,6,8,0,2,0,2,0
122,chhattisgarh,dantewara,2014,11,6,0,9,0,6,0
123,chhattisgarh,dhamtari,2014,36,19,3,49,6,9,0
124,chhattisgarh,durg,2014,84,150,12,254,12,172,0
125,chhattisgarh,gariyaband,2014,42,13,3,31,3,14,0
126,chhattisgarh,g. r. p. raipur,2014,0,1,1,8,0,4,0
127,chhattisgarh,jagdalpur,2014,32,31,1,42,0,20,0
128,chhattisgarh,janjgir,2014,64,106,20,141,7,90,0
129,chhattisgarh,jashpur,2014,86,33,0,48,0,11,0
130,chhattisgarh,kabirdham,2014,39,54,6,84,2,14,0
131,chhattisgarh,kanker,2014,40,31,5,37,2,25,0
132,chhattisgarh,kondagaon,2014,21,15,1,16,0,8,0
133,chhattisgarh,korba,2014,68,36,6,83,4,51,0
134,chhattisgarh,koriya,2014,58,62,2,74,1,59,0
135,chhattisgarh,mahasamund,2014,44,65,10,99,4,28,0
136,chhattisgarh,mungali,2014,10,32,6,38,15,14,0
137,chhattisgarh,narayanpur,2014,7,5,0,6,0,1,0
138,chhattisgarh,raigarh,2014,121,49,7,140,1,46,0
139,chhattisgarh,raipur,2014,141,179,3,224,4,96,0
140,chhattisgarh,rajnandgaon,2014,57,93,4,100,3,33,0
141,chhattisgarh,sarguja,2014,94,11,4,76,0,23,0
142,chhattisgarh,sukma,2014,5,5,0,5,0,3,0
143,chhattisgarh,surajpur,2014,50,65,1,70,0,47,0
145,goa,north goa,2014,55,55,0,146,40,11,0
146,goa,south goa,2014,37,31,0,53,17,23,0
147,goa,c. i. d.,2014,3,0,0,3,0,1,0
149,gujarat,ahmedabad city,2014,100,261,11,162,3,802,0
150,gujarat,ahmedabad rural,2014,18,80,0,31,0,142,0
151,gujarat,amreli,2014,7,65,0,21,1,139,0
152,gujarat,anand,2014,12,71,0,21,5,117,0
153,gujarat,arvalli,2014,5,37,0,19,2,69,0
154,gujarat,banaskantha,2014,56,105,0,90,2,295,0
155,gujarat,bharuch,2014,42,45,0,49,0,63,0
156,gujarat,bhavnagar,2014,17,97,0,39,36,155,0
157,gujarat,botad,2014,11,25,0,11,0,39,0
158,gujarat,chhotaudepur,2014,15,38,0,11,0,21,0
159,gujarat,c. i. d. crime,2014,0,0,0,0,0,0,0
160,gujarat,dahod,2014,27,95,0,28,0,133,0
161,gujarat,dang,2014,4,2,1,6,4,26,0
162,gujarat,devbhumi dwarka,2014,3,13,0,14,0,131,0
163,gujarat,gandhinagar,2014,17,65,0,22,2,152,0
164,gujarat,gir somnath,2014,17,29,1,30,2,125,0
165,gujarat,jamnagar,2014,34,56,1,26,1,230,0
166,gujarat,junagadh,2014,21,64,0,42,0,297,0
