STATE/UT,YEAR,Crime Head,No. Of Cases Reported,No. of Victims upto 10 years,No. of Victims 10-14 years,No. of Victims 14-18 years,No. of Victims 18-30 years,No. of Victims 30-50 years,No. of Victims above 50 years,Total Victims
West Bengal,2002,Other rape cases,759,5,3,8,552,191,0,759
West Bengal,2002,Incest cases,0,0,0,0,0,0,0,0
West Bengal,2002,Total,759,5,3,8,552,191,0,759
West Bengal,2003,Incest cases,15,1,2,0,12,0,0,15
West Bengal,2003,Other rape cases,987,4,5,4,814,158,2,987
West Bengal,2003,Total,1002,5,7,4,826,158,2,1002
West Bengal,2004,Total,1475,2,3,14,965,490,1,1475
West Bengal,2004,Incest cases,24,0,0,0,17,7,0,24
West Bengal,2004,Other rape cases,1451,2,3,14,948,483,1,1451
West Bengal,2005,Other rape cases,1650,3,0,3,1420,223,1,1650
West Bengal,2005,Total,1686,3,0,3,1451,228,1,1686
West Bengal,2005,Incest cases,36,0,0,0,31,5,0,36
West Bengal,2006,Incest cases,6,0,0,0,6,0,0,6
West Bengal,2006,Total,1731,2,5,13,1477,234,0,1731
West Bengal,2006,Other rape cases,1725,2,5,13,1471,234,0,1725
West Bengal,2007,Other rape cases,1992,11,40,33,1397,506,5,1992
West Bengal,2007,Total,2106,14,42,36,1478,531,5,2106
West Bengal,2007,Incest cases,114,3,2,3,81,25,0,114
West Bengal,2008,Other rape cases,2254,17,51,53,1628,504,1,2254
West Bengal,2008,Total,2263,22,53,54,1629,504,1,2263
West Bengal,2008,Incest cases,9,5,2,1,1,0,0,9
West Bengal,2009,Total,2336,6,18,85,1835,392,0,2336
West Bengal,2009,Other rape cases,2333,6,18,84,1834,391,0,2333
West Bengal,2009,Incest cases,3,0,0,1,1,1,0,3
West Bengal,2010,Incest cases,4,0,1,0,2,1,0,4
West Bengal,2010,Other rape cases,2307,0,21,51,1777,458,0,2307
West Bengal,2010,Total,2311,0,22,51,1779,459,0,2311
West Bengal,2011,Incest cases,7,0,0,7,0,0,0,7
West Bengal,2011,Total,2363,1,34,217,1671,439,1,2363
West Bengal,2011,Other rape cases,2356,1,34,210,1671,439,1,2356
West Bengal,2012,Total,2046,1,110,174,1382,378,1,2046
West Bengal,2012,Incest cases,6,1,5,0,0,0,0,6
West Bengal,2012,Other rape cases,2040,0,105,174,1382,378,1,2040
A&N Islands,2001,Incest cases,1,0,0,1,0,0,0,1
A&N Islands,2001,Other rape cases,2,0,0,2,0,0,0,2
A&N Islands,2001,Total,3,0,0,3,0,0,0,3
A&N Islands,2002,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2002,Total,2,0,0,1,1,0,0,2
A&N Islands,2002,Other rape cases,2,0,0,1,1,0,0,2
A&N Islands,2003,Total,2,1,0,1,0,0,0,2
A&N Islands,2003,Other rape cases,2,1,0,1,0,0,0,2
A&N Islands,2003,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2004,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2004,Other rape cases,10,0,1,7,1,1,0,10
A&N Islands,2004,Total,10,0,1,7,1,1,0,10
A&N Islands,2005,Total,4,0,0,2,2,0,0,4
A&N Islands,2005,Other rape cases,4,0,0,2,2,0,0,4
A&N Islands,2005,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2006,Total,6,2,2,1,1,0,0,6
A&N Islands,2006,Other rape cases,6,2,2,1,1,0,0,6
A&N Islands,2006,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2007,Total,3,0,0,3,0,0,0,3
A&N Islands,2007,Other rape cases,3,0,0,3,0,0,0,3
A&N Islands,2007,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2008,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2008,Other rape cases,12,0,1,7,3,1,0,12
A&N Islands,2008,Total,12,0,1,7,3,1,0,12
A&N Islands,2009,Total,18,2,3,7,5,1,0,18
A&N Islands,2009,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2009,Other rape cases,18,2,3,7,5,1,0,18
A&N Islands,2010,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2010,Other rape cases,24,2,1,12,8,1,0,24
A&N Islands,2010,Total,24,2,1,12,8,1,0,24
A&N Islands,2011,Other rape cases,13,2,2,5,4,0,0,13
A&N Islands,2011,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2011,Total,13,2,2,5,4,0,0,13
A&N Islands,2012,Incest cases,0,0,0,0,0,0,0,0
A&N Islands,2012,Other rape cases,12,2,1,7,1,1,0,12
A&N Islands,2012,Total,12,2,1,7,1,1,0,12
Chandigarh,2001,Total,18,0,8,4,4,3,0,19
Chandigarh,2001,Other rape cases,16,0,8,4,2,3,0,17
Chandigarh,2001,Incest cases,2,0,0,0,2,0,0,2
Chandigarh,2002,Other rape cases,16,1,4,0,8,3,0,16
Chandigarh,2002,Total,18,1,4,1,9,3,0,18
Chandigarh,2002,Incest cases,2,0,0,1,1,0,0,2
Chandigarh,2003,Total,18,3,1,5,7,2,0,18
Chandigarh,2003,Other rape cases,17,2,1,5,7,2,0,17
Chandigarh,2003,Incest cases,1,1,0,0,0,0,0,1
Chandigarh,2004,Other rape cases,18,5,4,3,5,1,0,18
Chandigarh,2004,Total,19,5,5,3,5,1,0,19
Chandigarh,2004,Incest cases,1,0,1,0,0,0,0,1
Chandigarh,2005,Total,33,7,4,10,5,7,0,33
Chandigarh,2005,Incest cases,1,0,0,1,0,0,0,1
Chandigarh,2005,Other rape cases,32,7,4,9,5,7,0,32
Chandigarh,2006,Incest cases,5,1,1,2,1,0,0,5
Chandigarh,2006,Total,19,3,2,6,4,4,0,19
Chandigarh,2006,Other rape cases,14,2,1,4,3,4,0,14
Chandigarh,2007,Total,22,3,3,2,11,3,0,22
Chandigarh,2007,Incest cases,2,1,1,0,0,0,0,2
Chandigarh,2007,Other rape cases,20,2,2,2,11,3,0,20
Chandigarh,2008,Incest cases,3,0,0,2,1,0,0,3
Chandigarh,2008,Other rape cases,17,2,3,5,6,1,0,17
Chandigarh,2008,Total,20,2,3,7,7,1,0,20
Chandigarh,2009,Incest cases,0,0,0,0,0,0,0,0
Chandigarh,2009,Total,29,3,8,10,8,0,0,29
Chandigarh,2009,Other rape cases,29,3,8,10,8,0,0,29
Chandigarh,2010,Other rape cases,31,4,8,4,15,0,0,31
Chandigarh,2010,Total,31,4,8,4,15,0,0,31
Chandigarh,2010,Incest cases,0,0,0,0,0,0,0,0
Chandigarh,2011,Incest cases,0,0,0,0,0,0,0,0
Chandigarh,2011,Other rape cases,27,6,1,9,6,5,0,27
Chandigarh,2011,Total,27,6,1,9,6,5,0,27
Chandigarh,2012,Incest cases,4,0,4,0,0,0,0,4
Chandigarh,2012,Other rape cases,23,8,3,3,8,1,0,23
Chandigarh,2012,Total,27,8,7,3,8,1,0,27
D&N Haveli,2001,Total,6,0,0,3,3,0,0,6
D&N Haveli,2001,Other rape cases,6,0,0,3,3,0,0,6
D&N Haveli,2001,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2002,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2002,Other rape cases,4,1,1,1,1,0,0,4
D&N Haveli,2002,Total,4,1,1,1,1,0,0,4
D&N Haveli,2003,Total,1,0,0,0,1,0,0,1
D&N Haveli,2003,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2003,Other rape cases,1,0,0,0,1,0,0,1
D&N Haveli,2004,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2004,Other rape cases,7,0,0,0,6,1,0,7
D&N Haveli,2004,Total,7,0,0,0,6,1,0,7
D&N Haveli,2005,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2005,Other rape cases,5,0,0,0,5,0,0,5
D&N Haveli,2005,Total,5,0,0,0,5,0,0,5
D&N Haveli,2006,Total,6,2,1,2,1,0,0,6
D&N Haveli,2006,Other rape cases,6,2,1,2,1,0,0,6
D&N Haveli,2006,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2007,Other rape cases,7,1,2,4,0,0,0,7
D&N Haveli,2007,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2007,Total,7,1,2,4,0,0,0,7
D&N Haveli,2008,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2008,Total,6,0,1,2,3,0,0,6
D&N Haveli,2008,Other rape cases,6,0,1,2,3,0,0,6
D&N Haveli,2009,Total,4,0,2,0,2,0,0,4
D&N Haveli,2009,Other rape cases,4,0,2,0,2,0,0,4
D&N Haveli,2009,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2010,Other rape cases,3,1,1,1,0,0,0,3
D&N Haveli,2010,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2010,Total,3,1,1,1,0,0,0,3
D&N Haveli,2011,Total,4,0,0,1,2,1,0,4
D&N Haveli,2011,Incest cases,0,0,0,0,0,0,0,0
D&N Haveli,2011,Other rape cases,4,0,0,1,2,1,0,4
D&N Haveli,2012,Other rape cases,2,0,0,0,2,0,0,2
D&N Haveli,2012,Total,3,0,1,0,2,0,0,3
D&N Haveli,2012,Incest cases,1,0,1,0,0,0,0,1
Daman & Diu,2001,Total,0,0,0,0,0,0,0,0
Daman & Diu,2001,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2001,Other rape cases,0,0,0,0,0,0,0,0
Daman & Diu,2002,Other rape cases,0,0,0,0,0,0,0,0
Daman & Diu,2002,Total,0,0,0,0,0,0,0,0
Daman & Diu,2002,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2003,Total,5,2,0,3,0,0,0,5
Daman & Diu,2003,Other rape cases,5,2,0,3,0,0,0,5
Daman & Diu,2003,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2004,Other rape cases,1,0,0,1,0,0,0,1
Daman & Diu,2004,Total,1,0,0,1,0,0,0,1
Daman & Diu,2004,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2005,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2005,Total,2,0,1,0,0,1,0,2
Daman & Diu,2005,Other rape cases,2,0,1,0,0,1,0,2
Daman & Diu,2006,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2006,Other rape cases,3,1,0,0,2,0,0,3
Daman & Diu,2006,Total,3,1,0,0,2,0,0,3
Daman & Diu,2007,Other rape cases,1,0,0,0,1,0,0,1
Daman & Diu,2007,Total,1,0,0,0,1,0,0,1
Daman & Diu,2007,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2008,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2008,Total,0,0,0,0,0,0,0,0
Daman & Diu,2008,Other rape cases,0,0,0,0,0,0,0,0
Daman & Diu,2009,Other rape cases,1,1,0,0,0,0,0,1
Daman & Diu,2009,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2009,Total,1,1,0,0,0,0,0,1
Daman & Diu,2010,Total,1,1,0,0,0,0,0,1
Daman & Diu,2010,Other rape cases,1,1,0,0,0,0,0,1
Daman & Diu,2010,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2011,Other rape cases,1,0,0,0,1,0,0,1
Daman & Diu,2011,Incest cases,0,0,0,0,0,0,0,0
Daman & Diu,2011,Total,1,0,0,0,1,0,0,1
Daman & Diu,2012,Other rape cases,5,1,1,3,0,0,0,5
Daman & Diu,2012,Total,5,1,1,3,0,0,0,5
Daman & Diu,2012,Incest cases,0,0,0,0,0,0,0,0
Delhi UT,2001,Other rape cases,372,45,78,152,58,41,0,374
Delhi UT,2001,Incest cases,9,3,3,2,1,0,0,9
Delhi UT,2001,Total,381,48,81,154,59,41,0,383
Delhi UT,2002,Other rape cases,371,31,48,40,207,49,0,375
Delhi UT,2002,Total,403,35,54,52,217,49,0,407
Delhi UT,2002,Incest cases,32,4,6,12,10,0,0,32
Delhi UT,2003,Total,490,26,50,76,321,17,0,490
Delhi UT,2003,Other rape cases,469,25,45,65,317,17,0,469
Delhi UT,2003,Incest cases,21,1,5,11,4,0,0,21
Delhi UT,2004,Total,551,60,126,77,282,6,0,551
Delhi UT,2004,Incest cases,16,1,7,6,2,0,0,16
Delhi UT,2004,Other rape cases,535,59,119,71,280,6,0,535
Delhi UT,2005,Incest cases,32,11,9,10,2,0,0,32
Delhi UT,2005,Total,658,60,120,55,404,25,2,666
Delhi UT,2005,Other rape cases,626,49,111,45,402,25,2,634
Delhi UT,2006,Total,623,70,111,267,155,21,2,626
Delhi UT,2006,Incest cases,26,3,4,12,7,0,0,26
Delhi UT,2006,Other rape cases,597,67,107,255,148,21,2,600
Delhi UT,2007,Total,598,76,94,228,179,24,1,602
Delhi UT,2007,Incest cases,18,2,2,9,5,0,0,18
Delhi UT,2007,Other rape cases,580,74,92,219,174,24,1,584
Delhi UT,2008,Incest cases,37,2,12,8,10,1,4,37
Delhi UT,2008,Other rape cases,429,69,83,127,123,29,2,433
Delhi UT,2008,Total,466,71,95,135,133,30,6,470
Delhi UT,2009,Incest cases,19,3,3,5,6,2,0,19
Delhi UT,2009,Other rape cases,450,44,69,183,135,18,1,450
Delhi UT,2009,Total,469,47,72,188,141,20,1,469
Delhi UT,2010,Total,507,51,79,174,168,34,1,507
Delhi UT,2010,Other rape cases,486,45,68,171,167,34,1,486
Delhi UT,2010,Incest cases,21,6,11,3,1,0,0,21
Delhi UT,2011,Incest cases,23,0,10,7,5,1,0,23
Delhi UT,2011,Other rape cases,549,57,87,178,189,36,2,549
Delhi UT,2011,Total,572,57,97,185,194,37,2,572
Delhi UT,2012,Total,706,78,109,228,229,57,6,707
Delhi UT,2012,Other rape cases,665,72,98,213,221,57,5,666
Delhi UT,2012,Incest cases,41,6,11,15,8,0,1,41
Lakshadweep,2001,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2001,Total,0,0,0,0,0,0,0,0
Lakshadweep,2001,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2002,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2002,Other rape cases,1,0,0,0,0,1,0,1
Lakshadweep,2002,Total,1,0,0,0,0,1,0,1
Lakshadweep,2003,Total,2,0,0,0,2,0,0,2
Lakshadweep,2003,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2003,Other rape cases,2,0,0,0,2,0,0,2
Lakshadweep,2004,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2004,Total,0,0,0,0,0,0,0,0
Lakshadweep,2004,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2005,Total,0,0,0,0,0,0,0,0
Lakshadweep,2005,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2005,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2006,Total,0,0,0,0,0,0,0,0
Lakshadweep,2006,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2006,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2007,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2007,Other rape cases,1,0,0,0,1,0,0,1
Lakshadweep,2007,Total,1,0,0,0,1,0,0,1
Lakshadweep,2008,Other rape cases,2,0,0,0,1,1,0,2
Lakshadweep,2008,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2008,Total,2,0,0,0,1,1,0,2
Lakshadweep,2009,Other rape cases,1,0,0,0,1,0,0,1
Lakshadweep,2009,Total,1,0,0,0,1,0,0,1
Lakshadweep,2009,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2010,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2010,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2010,Total,0,0,0,0,0,0,0,0
Lakshadweep,2011,Total,0,0,0,0,0,0,0,0
Lakshadweep,2011,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2011,Incest cases,0,0,0,0,0,0,0,0
Lakshadweep,2012,Total,0,0,0,0,0,0,0,0
Lakshadweep,2012,Other rape cases,0,0,0,0,0,0,0,0
Lakshadweep,2012,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2001,Other rape cases,9,3,2,2,1,1,0,9
Puducherry,2001,Total,9,3,2,2,1,1,0,9
Puducherry,2001,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2002,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2002,Other rape cases,6,1,0,3,2,0,0,6
Puducherry,2002,Total,6,1,0,3,2,0,0,6
Puducherry,2003,Total,2,1,0,0,1,0,0,2
Puducherry,2003,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2003,Other rape cases,2,1,0,0,1,0,0,2
Puducherry,2004,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2004,Total,4,0,0,4,0,0,0,4
Puducherry,2004,Other rape cases,4,0,0,4,0,0,0,4
Puducherry,2005,Total,6,1,0,2,3,0,0,6
Puducherry,2005,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2005,Other rape cases,6,1,0,2,3,0,0,6
Puducherry,2006,Other rape cases,9,2,1,5,1,0,0,9
Puducherry,2006,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2006,Total,9,2,1,5,1,0,0,9
Puducherry,2007,Other rape cases,9,1,0,2,6,0,0,9
Puducherry,2007,Total,9,1,0,2,6,0,0,9
Puducherry,2007,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2008,Other rape cases,8,0,1,3,3,1,0,8
Puducherry,2008,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2008,Total,8,0,1,3,3,1,0,8
Puducherry,2009,Total,1,0,0,1,0,0,0,1
Puducherry,2009,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2009,Other rape cases,1,0,0,1,0,0,0,1
Puducherry,2010,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2010,Other rape cases,3,0,0,3,0,0,0,3
Puducherry,2010,Total,3,0,0,3,0,0,0,3
Puducherry,2011,Total,7,0,1,5,1,0,0,7
Puducherry,2011,Incest cases,0,0,0,0,0,0,0,0
Puducherry,2011,Other rape cases,7,0,1,5,1,0,0,7
Puducherry,2012,Total,13,0,0,7,5,1,0,13
Puducherry,2012,Other rape cases,13,0,0,7,5,1,0,13
Puducherry,2012,Incest cases,0,0,0,0,0,0,0,0

